id,name,slug,avatarUrl,coverImage,bio,views,subscribers,tags,createdAt,updatedAt
1,Abella Danger,abella-danger,https://static-pornctrcdn.b-cdn.net/models/abella_danger_thumbnl_12.webp,,,7383,267,"[""Brunette"",""Big Ass"",""Anal"",""Latina"",""Hardcore""]",2026-07-22 04:12:00,2026-07-22 04:12:00
2,Adriana Chechik,adriana-chechik,https://static-pornctrcdn.b-cdn.net/models/adriana_chechik_thumbnl_18.webp,,,8087,388,"[""Brunette"",""Anal"",""Squirt"",""Hardcore"",""Gaping""]",2026-07-22 04:12:00,2026-07-22 04:12:00
3,Angela White,angela-white,https://static-pornctrcdn.b-cdn.net/models/angela_white_thumbnl_15.webp,,,9516,333,"[""Brunette"",""Big Tits"",""Australian"",""Anal"",""MILF""]",2026-07-22 04:12:00,2026-07-22 04:12:00
4,Anissa Kate,anissa-kate,https://static-pornctrcdn.b-cdn.net/models/anissa_kate_thmbnl_28.webp,,,6473,878,"[""Brunette"",""French"",""Big Tits"",""Anal"",""Hardcore""]",2026-07-22 04:12:00,2026-07-22 04:12:00
5,Audrey Bitoni,audrey-bitoni,https://static-pornctrcdn.b-cdn.net/models/aurdrey_bitoni_thmbnl_%2034.webp,,,4321,1021,"[""Brunette"",""Big Tits"",""MILF"",""Hardcore""]",2026-07-22 04:12:00,2026-07-22 04:12:00
6,Ava Addams,ava-addams,https://static-pornctrcdn.b-cdn.net/models/ava_addams_thmbnl_29.webp,,,2037,1014,"[""Brunette"",""Big Tits"",""MILF"",""French"",""Anal""]",2026-07-22 04:12:00,2026-07-22 04:12:00
7,Blake Blossom,blake-blossom,https://static-pornctrcdn.b-cdn.net/models/blake_blossom_thumbnl_7.webp,,,322,495,"[""Blonde"",""Big Tits"",""Natural"",""Hardcore"",""Young""]",2026-07-22 04:12:00,2026-07-22 04:12:00
8,Brandi Love,brandi-love,https://static-pornctrcdn.b-cdn.net/models/brandi_love_thumbnl_2.webp,,,440,1068,"[""Blonde"",""MILF"",""Big Tits"",""Hardcore"",""Cougar""]",2026-07-22 04:12:00,2026-07-22 04:12:00
9,Chanel Preston,chanel-preston,https://static-pornctrcdn.b-cdn.net/models/chanel_preston_thumbnl_13.webp,,,6073,883,"[""Brunette"",""MILF"",""Big Tits"",""Anal"",""Hardcore""]",2026-07-22 04:12:00,2026-07-22 04:12:00
10,Cherie DeVille,cherie-deville,https://static-pornctrcdn.b-cdn.net/models/cherie_deville_thmbnl_38.webp,,,8088,347,"[""Blonde"",""MILF"",""Lesbian"",""Hardcore"",""Cougar""]",2026-07-22 04:12:00,2026-07-22 04:12:00
